titulo,autor,anio_publicacion,decada,idioma,categoria,num_ediciones,rating_promedio,num_ratings
Metamorphosis,Franz Kafka,1915,1910s,German,fiction,954,4.1744967,149.0
Diary of a Wimpy Kid,Jeff Kinney,2017,2010s,Other,fiction,39,4.6567163,67.0
A Gentleman in Moscow,Amor Towles,2016,2010s,Spanish,fiction,28,3.8873239,71.0
The Naked Sun,Isaac Asimov,1954,1950s,Chinese,fiction,52,3.9545455,22.0
To Kill a Mockingbird,Harper Lee,1960,1960s,German,fiction,213,4.123077,260.0
All your perfects,Colleen Hoover,2018,2010s,German,fiction,15,3.7560976,41.0
Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,1990s,Other,fiction,398,4.213573,1002.0
Le Comte de Monte Cristo,Alexandre Dumas,1830,1830s,German,fiction,735,4.2886596,194.0
Le petit prince,Antoine de Saint-Exupéry,1943,1940s,Other,fiction,688,4.362832,226.0
The Princess Bride,William Goldman,1973,1970s,English,fiction,31,4.244898,98.0
Ubik,Philip K. Dick,1969,1960s,Other,fiction,68,3.9452055,73.0
Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,1990s,German,fiction,305,4.183223,453.0
The One (The Selection #3),Kiera Cass,2012,2010s,Chinese,fiction,26,4.5,30.0
Dune,Frank Herbert,1965,1960s,Other,fiction,120,4.3049645,423.0
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1875,1870s,German,fiction,373,3.9510489,143.0
Sofies verden,Jostein Gaarder,1991,1990s,Other,fiction,51,3.9791667,48.0
We'll Always Have Summer,Jenny Han,2011,2010s,English,fiction,14,4.0833335,36.0
Oliver Twist,Charles Dickens,1822,1820s,German,fiction,2209,4.097561,82.0
The Caves of Steel,Isaac Asimov,1953,1950s,Other,fiction,61,4.3076925,26.0
The Handmaid's Tale,Margaret Atwood,1985,1980s,German,fiction,164,3.944882,127.0
Anne of Avonlea,Lucy Maud Montgomery,1909,1900s,Other,fiction,813,4.275862,29.0
Animal Farm,George Orwell,1945,1940s,German,fiction,650,4.1514087,568.0
Dork Diaries,Rachel Renée Russell,2009,2000s,English,fiction,5,4.2,45.0
Foundation,Isaac Asimov,1951,1950s,German,fiction,99,4.1070232,299.0
Demian,Hermann Hesse,1919,1910s,Other,fiction,176,4.2105265,57.0
Death's End (The Three-Body Problem Series Book 3),刘慈欣,2010,2010s,Chinese,fiction,27,4.35,100.0
The Blade Itself,Joe Abercrombie,2001,2000s,English,fiction,16,4.111111,90.0
The Bell Jar,Sylvia Plath,1948,1940s,Other,fiction,159,4.223881,67.0
House of Leaves,Mark Z. Danielewski,1998,1990s,Portuguese,fiction,14,4.3333335,63.0
Dracula,Bram Stoker,1897,1890s,German,fiction,736,4.0430107,186.0
"Are You There God? It's Me, Margaret.",Judy Blume,1970,1970s,English,fiction,66,4.1842103,38.0
Pollyanna,Eleanor Hodgman Porter,1912,1910s,Other,fiction,552,3.8636363,22.0
Watership Down,Richard Adams,1972,1970s,German,fiction,97,4.1359224,103.0
Kindred,Octavia E. Butler,1979,1970s,English,fiction,29,4.4166665,48.0
Shatter Me Complete Collection,Tahereh Mafi,2011,2010s,English,fiction,4,4.3846154,26.0
Fahrenheit 451,Ray Bradbury,1953,1950s,Other,fiction,261,3.983908,435.0
Exile,Shannon Messenger,2012,2010s,English,fiction,18,4.703704,27.0
I Have No Mouth and I Must Scream,Harlan Ellison,1972,1970s,English,fiction,5,4.116279,43.0
Pride and Prejudice,Jane Austen,1813,1810s,Other,fiction,4038,4.2015305,392.0
Deception Point,Dan Brown,2001,2000s,Portuguese,fiction,96,3.3362832,113.0
Coraline,Neil Gaiman,2001,2000s,Other,fiction,94,4.030457,197.0
The Man in the Brown Suit,Agatha Christie,1924,1920s,Other,fiction,201,4.1578946,19.0
Hello world,Hannah Fry,2018,2010s,English,technology,9,4.0833335,12.0
Elon Musk,Ashlee Vance,2013,2010s,Other,technology,22,4.060606,165.0
Dark Matter,Blake Crouch,2016,2010s,Portuguese,technology,22,4.035294,85.0
Digital Minimalism,Cal Newport,2019,2010s,English,technology,9,3.4666667,15.0
The Circle,Dave Eggers,2013,2010s,German,technology,38,3.4444444,27.0
All Tomorrow's Parties,William Gibson,1999,1990s,Spanish,technology,21,3.8636363,22.0
Transactions on Engineering Technologies,Sio-Iong Ao,2013,2010s,English,technology,40,3.0,1.0
Good to Great,Jim Collins,2001,2000s,English,technology,4,3.7391305,23.0
Small Is Beautiful,E. F. Schumacher,1905,1900s,German,technology,50,4.4210525,19.0
Zodiac,Neal Stephenson,1988,1980s,Other,technology,17,3.64,25.0
Crossing the Chasm,Geoffrey A. Moore,1991,1990s,English,technology,21,4.230769,13.0
Industrial Society and Its Future,Theodore Kaczynski,1995,1990s,English,technology,24,4.0,10.0
Profiles of the future,Arthur C. Clarke,1962,1960s,English,technology,20,5.0,3.0
The Book,Hungry Minds,2022,2020s,Spanish,technology,2,4.428571,14.0
What technology wants,Kevin Kelly,2010,2010s,English,technology,2,3.75,8.0
Life 3.0,Max Tegmark,2017,2010s,English,technology,8,4.0588236,17.0
Operating manual for spaceship earth,R. Buckminster Fuller,1969,1960s,English,technology,16,5.0,3.0
Inspired,Marty Cagan,2008,2000s,English,technology,10,4.2941175,17.0
Red Storm Rising,Tom Clancy,1983,1980s,English,technology,35,3.82243,107.0
Techno-Feudalism,Yanis Varoufakis,2023,2020s,English,technology,9,3.0,1.0
The Innovators,Walter Isaacson,2014,2010s,English,technology,18,3.9545455,22.0
Computer Concepts and Management Information Systems,C. P. Gupta,2020,2020s,English,technology,3,5.0,2.0
How to Do Nothing,Jenny Odell,2019,2010s,English,technology,13,4.0833335,24.0
The infrared handbook,Desconocido,1978,1970s,English,technology,1,4.0,10.0
Connections,"Burke, James",1978,1970s,English,technology,10,4.5,4.0
The nature and properties of soils,Nyle C. Brady,1974,1970s,English,technology,13,3.857143,7.0
Human Anatomy,Elaine Nicpon Marieb,1992,1990s,English,technology,38,3.8,5.0
"CGEIT Review Manual, 8th Edition",Isaca,2020,2020s,English,technology,1,5.0,1.0
Teaching and learning with technology,Judy Lever-Duffy,2002,2000s,English,technology,18,3.6666667,3.0
